,date,open,high,low,close,volume,feature_SMA,feature_MiddleBand,feature_UpperBand,feature_LowerBand,feature_RSI,feature_MACD,feature_open,feature_high,feature_low,feature_close,feature_volume
1310,2023-10-03 10:07:00,27590.01,27596.63,27590.0,27596.62,13.54,27572.88,27576.64,27610.12,27543.16,64.55,-4.107817364107177,27590.01,27596.63,27590.0,27596.62,13.54
1311,2023-10-03 10:08:00,27596.62,27601.5,27596.62,27601.5,9.34,27574.4,27576.37,27608.77,27543.97,66.83,-2.9347855714077014,27596.62,27601.5,27596.62,27601.5,9.34
1312,2023-10-03 10:09:00,27601.49,27601.5,27601.49,27601.49,3.27,27575.76,27576.01,27606.85,27545.17,66.82,-1.8841282925095584,27601.49,27601.5,27601.49,27601.49,3.27
1313,2023-10-03 10:10:00,27601.49,27601.5,27601.49,27601.49,5.15,27577.02,27575.79,27605.67,27545.9,66.82,-0.9448428243958915,27601.49,27601.5,27601.49,27601.49,5.15
1314,2023-10-03 10:11:00,27601.49,27601.5,27581.12,27581.13,14.23,27577.45,27575.34,27604.17,27546.5,49.57,-0.9193103204706858,27601.49,27601.5,27581.12,27581.13,14.23
1315,2023-10-03 10:12:00,27581.12,27582.23,27580.11,27580.11,10.75,27577.73,27574.86,27602.55,27547.18,48.88,-0.9346794043849513,27581.12,27582.23,27580.11,27580.11,10.75
1316,2023-10-03 10:13:00,27580.11,27580.12,27554.89,27554.9,19.98,27576.57,27573.93,27601.1,27546.77,35.55,-1.9512049735531036,27580.11,27580.12,27554.89,27554.9,19.98
1317,2023-10-03 10:14:00,27554.9,27560.41,27554.09,27560.03,11.27,27575.6,27573.45,27600.74,27546.17,39.23,-2.6446088841112214,27554.9,27560.41,27554.09,27560.03,11.27
1318,2023-10-03 10:15:00,27560.03,27570.0,27560.02,27569.99,10.43,27575.04,27573.3,27600.58,27546.02,45.79,-2.8561684602173045,27560.03,27570.0,27560.02,27569.99,10.43
1319,2023-10-03 10:16:00,27569.99,27570.76,27566.21,27570.75,24.91,27574.87,27573.21,27600.5,27545.93,46.27,-3.005770794356067,27569.99,27570.76,27566.21,27570.75,24.91
1320,2023-10-03 10:17:00,27570.76,27575.0,27570.75,27575.0,4.91,27575.17,27573.4,27600.6,27546.2,49.04,-2.9606715278569027,27570.76,27575.0,27570.75,27575.0,4.91
1321,2023-10-03 10:18:00,27574.99,27576.57,27574.99,27576.56,7.29,27575.09,27573.68,27600.71,27546.65,50.07,-2.849926107126521,27574.99,27576.57,27574.99,27576.56,7.29
1322,2023-10-03 10:19:00,27576.57,27576.57,27574.99,27575.0,7.56,27575.02,27574.22,27600.21,27548.23,48.99,-2.8055885077665152,27576.57,27576.57,27574.99,27575.0,7.56
1323,2023-10-03 10:20:00,27574.99,27575.0,27559.96,27559.97,6.19,27574.34,27574.26,27600.15,27548.37,39.93,-3.357671358167863,27574.99,27575.0,27559.96,27559.97,6.19
1324,2023-10-03 10:21:00,27559.96,27563.63,27559.96,27563.62,4.35,27574.49,27574.12,27600.17,27548.08,42.74,-3.6932616087906354,27559.96,27563.63,27559.96,27563.62,4.35
1325,2023-10-03 10:22:00,27563.63,27566.98,27563.62,27564.1,10.67,27574.68,27573.81,27599.96,27547.66,43.12,-3.9618966417947377,27563.63,27566.98,27563.62,27564.1,10.67
1326,2023-10-03 10:23:00,27564.1,27574.05,27562.36,27562.36,24.48,27575.04,27573.62,27599.96,27547.28,42.01,-4.2587975923815975,27564.1,27574.05,27562.36,27562.36,24.48
1327,2023-10-03 10:24:00,27562.37,27577.33,27562.36,27577.33,60.12,27576.13,27573.97,27600.03,27547.9,53.26,-3.9134822048872593,27562.37,27577.33,27562.36,27577.33,60.12
1328,2023-10-03 10:25:00,27577.33,27593.42,27577.32,27591.61,64.33,27577.66,27574.61,27600.79,27548.44,61.1,-3.0258130222573527,27577.33,27593.42,27577.32,27591.61,64.33
1329,2023-10-03 10:26:00,27591.62,27591.62,27589.06,27589.07,28.47,27578.62,27574.98,27601.44,27548.51,59.18,-2.3294637401995715,27591.62,27591.62,27589.06,27589.07,28.47
1330,2023-10-03 10:27:00,27589.08,27590.69,27575.61,27577.97,32.53,27579.01,27574.94,27601.39,27548.5,51.44,-2.146584994490695,27589.08,27590.69,27575.61,27577.97,32.53
1331,2023-10-03 10:28:00,27577.97,27586.54,27577.97,27586.54,9.28,27579.83,27574.96,27601.43,27548.48,56.26,-1.6360871208380559,27577.97,27586.54,27577.97,27586.54,9.28
1332,2023-10-03 10:29:00,27586.54,27597.9,27586.53,27597.63,10.19,27579.96,27575.18,27602.23,27548.13,61.63,-0.7353138339422003,27586.54,27597.9,27586.53,27597.63,10.19
1333,2023-10-03 10:30:00,27597.63,27597.63,27595.21,27595.22,8.15,27580.0,27575.48,27603.08,27547.87,59.89,-0.028656912727456074,27597.63,27597.63,27595.21,27595.22,8.15
1334,2023-10-03 10:31:00,27595.21,27595.22,27583.83,27583.83,17.29,27579.75,27575.79,27603.41,27548.17,52.26,0.14526222212589346,27595.21,27595.22,27583.83,27583.83,17.29
1335,2023-10-03 10:32:00,27583.84,27583.84,27571.1,27574.0,34.51,27578.85,27575.86,27603.45,27548.28,46.67,-0.09263661590739503,27583.84,27583.84,27571.1,27574.0,34.51
1336,2023-10-03 10:33:00,27574.0,27584.35,27573.99,27584.35,5.57,27578.16,27576.28,27603.73,27548.83,52.51,0.10898218508737045,27574.0,27584.35,27573.99,27584.35,5.57
1337,2023-10-03 10:34:00,27584.35,27593.87,27584.34,27593.86,5.66,27577.86,27576.81,27604.58,27549.03,57.2,0.6672046458443219,27584.35,27593.87,27584.34,27593.86,5.66
1338,2023-10-03 10:35:00,27593.87,27602.58,27593.86,27597.85,11.15,27577.71,27577.36,27605.69,27549.03,59.06,1.3206468199496157,27593.87,27602.58,27593.86,27597.85,11.15
1339,2023-10-03 10:36:00,27597.86,27597.86,27594.62,27594.63,12.32,27578.25,27577.85,27606.52,27549.19,56.89,1.7692887330595113,27597.86,27597.86,27594.62,27594.63,12.32
1340,2023-10-03 10:37:00,27594.63,27597.8,27594.61,27597.8,3.99,27578.96,27578.35,27607.52,27549.17,58.52,2.2894795825050096,27594.63,27597.8,27594.61,27597.8,3.99
1341,2023-10-03 10:38:00,27597.8,27597.8,27594.85,27594.85,4.52,27580.56,27578.56,27608.07,27549.05,56.35,2.627684897161089,27597.8,27597.8,27594.85,27594.85,4.52
1342,2023-10-03 10:39:00,27594.86,27601.11,27594.85,27601.11,9.06,27582.2,27578.9,27609.05,27548.75,59.8,3.1705121714549023,27594.86,27601.11,27594.85,27601.11,9.06
